date,rate
15.Apr,1.75
15.May,1.75
15.Jun,1.5
15.Jul,1.5
15.Aug,1.5
15.Sep,1.5
15.Oct,1.5
15.Nov,1.5
15.Dec,1.5
16.Jan,1.5
16.Feb,1.5
16.Mar,1.5
16.Apr,1.5
16.May,1.5
16.Jun,1.25
16.Jul,1.25
16.Aug,1.25
16.Sep,1.25
16.Oct,1.25
16.Nov,1.25
16.Dec,1.25
17.Jan,1.25
17.Feb,1.25
17.Mar,1.25
17.Apr,1.25
17.May,1.25
17.Jun,1.25
17.Jul,1.25
17.Aug,1.25
17.Sep,1.25
17.Oct,1.25
17.Nov,1.5
17.Dec,1.5
18.Jan,1.5
18.Feb,1.5
18.Mar,1.5
18.Apr,1.5
18.May,1.5
18.Jun,1.5
18.Jul,1.5
18.Aug,1.5
18.Sep,1.5
18.Oct,1.5
18.Nov,1.75
18.Dec,1.75
19.Jan,1.75
19.Feb,1.75
19.Mar,1.75
19.Apr,1.75
19.May,1.75
19.Jun,1.75
19.Jul,1.5
19.Aug,1.5
19.Sep,1.5
19.Oct,1.25
19.Nov,1.25
19.Dec,1.25
20.Jan,1.25
20.Feb,1.25
20.Mar,0.75